"mrcas" "Lin_sizes"
"245" 2021-09-01 1
"246" 2021-08-16 10
"247" 2021-09-09 1
"248" 2021-07-28 3
"249" 2021-09-10 1
"250" 2021-07-29 1
"251" 2021-07-05 1
"252" 2021-08-02 2
"253" 2021-08-03 1
"254" 2021-08-29 1
"255" 2021-09-20 1
"256" 2021-09-12 2
"257" 2021-09-05 2
"258" 2021-09-10 1
"259" 2021-08-09 1
"260" 2021-08-30 6
"261" 2021-07-14 24
"262" 2021-08-02 1
"263" 2021-08-14 1
"264" 2021-07-18 59
"265" 2021-09-05 2
"266" 2021-08-05 1
"267" 2021-08-03 1
"268" 2021-08-10 1
"269" 2021-08-16 8
"270" 2021-07-27 118
"271" 2021-08-08 1
"272" 2021-04-25 2
"273" 2021-07-26 1
"274" 2021-06-29 1
"275" 2021-08-20 1
"276" 2021-06-05 1
"277" 2021-09-01 1
"278" 2021-09-01 1
"279" 2021-09-16 1
"280" 2021-09-13 1
"281" 2021-08-30 1
"282" 2021-08-23 15
"283" 2021-09-05 1
"284" 2021-09-01 2
"285" 2021-06-13 1
"286" 2021-06-17 1
"287" 2021-08-30 3
"288" 2021-08-08 11
"289" 2021-07-26 5
"290" 2021-09-01 1
"291" 2021-09-05 1
"292" 2021-08-31 4
"293" 2021-08-25 1
"294" 2021-06-06 124
"295" 2021-08-18 1
"296" 2021-05-27 1
"297" 2021-09-09 1
"298" 2021-07-29 1
"299" 2021-05-24 2
"300" 2021-09-06 1
"301" 2021-08-16 1
"302" 2021-07-25 2
"303" 2021-08-14 1
"304" 2021-07-27 8
"305" 2021-08-08 1
"306" 2021-09-05 2
"307" 2021-06-24 1
"308" 2021-09-01 1
"309" 2021-09-05 2
"310" 2021-08-12 1
"311" 2021-08-07 7
"312" 2021-08-30 1
"313" 2021-08-09 26
"314" 2021-07-29 1
"315" 2021-06-27 2
"316" 2021-07-03 1
"317" 2021-09-14 1
"318" 2021-09-05 1
"319" 2021-07-08 10
"320" 2021-05-17 4
"321" 2021-08-24 5
"322" 2021-08-16 3
"323" 2021-07-21 34
"324" 2021-07-26 1
"325" 2021-08-30 1
"326" 2021-06-06 1
"327" 2021-06-28 1
"328" 2021-08-23 2
"329" 2021-08-23 5
"330" 2021-09-29 1
"331" 2021-09-02 1
"332" 2021-08-30 2
"333" 2021-09-12 2
"334" 2021-07-27 29
"335" 2021-08-29 1
"336" 2021-06-23 5
"337" 2021-09-17 1
"338" 2021-07-04 73
"339" 2021-09-04 1
"340" 2021-08-28 1
"341" 2021-09-01 1
"342" 2021-06-05 1
"343" 2021-09-17 1
"344" 2021-08-16 3
"345" 2021-09-28 1
"346" 2021-09-16 1
"347" 2021-09-13 1
"348" 2021-09-13 2
"349" 2021-06-23 28
"350" 2021-07-30 1
"351" 2021-07-10 71
"352" 2021-08-16 5
"353" 2021-07-29 1
"354" 2021-07-18 1
"355" 2021-07-16 1
"356" 2021-07-25 1
"357" 2021-08-29 1
"358" 2021-08-05 1
"359" 2021-07-26 11
"360" 2021-07-26 8
"361" 2021-08-10 12
"362" 2021-09-01 1
"363" 2021-09-02 1
"364" 2021-09-10 1
"365" 2021-09-05 1
"366" 2021-08-23 24
"367" 2021-08-16 3
"368" 2021-04-23 1
"369" 2021-08-21 1
"370" 2021-09-09 1
"371" 2021-08-18 9
"372" 2021-08-07 10
"373" 2021-01-20 25
"374" 2021-05-25 5
"375" 2021-06-17 77
"376" 2021-09-05 3
"377" 2021-08-21 1
"378" 2021-08-22 1
"379" 2021-08-25 1
"380" 2021-08-29 1
"381" 2021-09-12 1
"382" 2021-09-05 2
"383" 2021-08-20 15
"384" 2021-08-29 5
"385" 2021-06-09 1
"386" 2021-08-23 4
"387" 2021-09-17 1
"388" 2021-09-05 1
"389" 2021-08-16 1
"390" 2021-07-30 1
"391" 2021-07-26 16
"392" 2021-09-05 1
"393" 2021-09-17 1
"394" 2021-07-16 8
"395" 2021-09-10 1
"396" 2021-08-31 2
"397" 2021-08-29 1
"398" 2021-08-29 1
"399" 2021-07-25 1
"400" 2021-08-23 4
"401" 2021-08-04 21
"402" 2021-09-01 1
"403" 2021-09-10 1
"404" 2021-09-17 1
"405" 2021-08-23 4
"406" 2021-09-17 1
"407" 2021-08-07 13
"408" 2021-08-16 10
"409" 2021-05-05 2
"410" 2021-07-29 15
"411" 2021-07-27 8
"412" 2021-05-18 7
"413" 2021-08-29 2
"414" 2021-06-28 1
"415" 2021-06-29 1
"416" 2021-08-30 2
"417" 2021-06-21 2
"418" 2021-09-05 2
"419" 2021-08-30 1
"420" 2021-08-24 5
"421" 2021-08-20 1
"422" 2021-07-31 18
"423" 2021-07-27 18
"424" 2021-09-05 3
"425" 2021-08-15 18
"426" 2021-06-17 1
"427" 2021-08-05 1
"428" 2021-08-02 1
"429" 2021-07-05 8
"430" 2021-06-23 79
"431" 2021-09-06 1
"432" 2021-09-01 1
"433" 2021-09-09 1
"434" 2021-09-01 1
"435" 2021-08-30 4
"436" 2021-09-05 2
"437" 2021-05-22 2
"438" 2021-08-29 1
"439" 2021-08-14 1
"440" 2021-05-13 26
"441" 2021-08-01 1
"442" 2021-09-08 1
"443" 2021-08-08 3
"444" 2021-08-29 2
"445" 2021-07-30 18
"446" 2021-06-29 2
"447" 2021-08-30 1
"448" 2021-09-05 1
"449" 2021-08-30 3
"450" 2021-06-04 29
"451" 2021-09-12 1
"452" 2021-09-01 1
"453" 2021-08-29 1
"454" 2021-08-17 1
"455" 2021-09-13 1
"456" 2021-07-30 10
"457" 2021-09-13 1
"458" 2021-08-06 1
"459" 2021-08-26 1
"460" 2021-08-04 1
"461" 2021-09-08 1
"462" 2021-08-06 1
"463" 2021-09-03 1
"464" 2021-07-19 1
"465" 2021-07-28 1
"466" 2021-08-08 17
"467" 2021-07-18 1
"468" 2021-09-04 1
"469" 2021-09-13 1
"470" 2021-08-14 1
"471" 2021-09-13 1
"472" 2021-06-27 2
"473" 2021-08-07 5
"474" 2021-09-05 1
"475" 2021-09-05 2
"476" 2021-08-29 4
"477" 2021-08-30 2
"478" 2021-08-21 1
"479" 2021-09-05 1
"480" 2021-09-02 1
"481" 2021-06-27 1
"482" 2021-09-21 1
"483" 2021-08-16 12
"484" 2021-07-28 29
"485" 2021-07-06 1
"486" 2021-06-28 3
"487" 2021-08-08 17
"488" 2021-07-29 1
"489" 2021-07-06 30
"490" 2021-08-09 1
"491" 2021-08-22 1
"492" 2021-07-21 137
"493" 2021-08-31 4
