"mrcas" "Lin_sizes"
"1" 2021-05-09 1
"2" 2021-07-18 1
"3" 2021-07-24 1
"4" 2021-06-12 3
"5" 2021-06-06 1
"6" 2021-06-24 1
"7" 2021-05-12 4
"8" 2021-07-14 1
"9" 2021-08-05 1
"10" 2021-04-26 2
"11" 2021-06-02 1
"12" 2021-05-24 18
"13" 2021-04-15 1
"14" 2021-05-29 1
"15" 2021-08-02 2
"16" 2021-06-08 1
"17" 2021-06-05 1
"18" 2021-05-24 3
"19" 2021-04-23 2
"20" 2021-05-21 1
"21" 2021-07-05 2
"22" 2021-08-25 1
"23" 2021-08-06 1
"24" 2021-08-10 1
"25" 2021-07-21 1
"26" 2021-07-19 6
"27" 2021-07-16 1
"28" 2021-07-29 1
"29" 2021-06-25 3
"30" 2021-07-27 3
"31" 2021-07-05 2
"32" 2021-06-21 1
"33" 2021-08-03 2
"34" 2021-08-01 1
"35" 2021-07-27 3
"36" 2021-06-22 5
"37" 2021-07-10 3
"38" 2021-08-03 1
"39" 2021-08-03 2
"40" 2021-08-10 1
"41" 2021-07-27 2
"42" 2021-06-28 23
"43" 2021-06-13 29
"44" 2021-08-03 1
"45" 2021-07-06 1
"46" 2021-07-13 1
"47" 2021-08-04 2
"48" 2021-07-27 6
"49" 2021-08-09 1
"50" 2021-07-30 1
"51" 2021-08-02 1
"52" 2021-07-01 4
"53" 2021-08-05 1
"54" 2021-08-09 1
"55" 2021-08-09 1
"56" 2021-08-12 1
"57" 2021-06-17 3
"58" 2021-05-18 3
"59" 2021-07-14 1
"60" 2021-06-12 6
"61" 2021-07-18 7
"62" 2021-07-01 1
"63" 2021-07-21 1
"64" 2021-06-17 1
"65" 2021-07-18 1
"66" 2021-06-28 1
"67" 2021-08-06 1
"68" 2021-08-04 2
"69" 2021-08-21 1
"70" 2021-06-02 1
"71" 2021-06-28 1
"72" 2021-05-29 5
"73" 2021-06-09 2
"74" 2021-06-09 1
"75" 2021-03-28 648
"76" 2021-08-04 2
"77" 2021-08-13 1
"78" 2021-06-09 2
"79" 2021-07-29 1
"80" 2021-08-12 1
"81" 2021-08-03 1
"82" 2021-07-07 1
"83" 2021-07-15 8
"84" 2021-08-01 2
"85" 2021-08-05 1
"86" 2021-07-22 1
"87" 2021-08-02 2
"88" 2021-08-04 2
"89" 2021-07-28 1
"90" 2021-07-20 2
"91" 2021-08-04 2
"92" 2021-06-23 2
"93" 2021-08-09 1
"94" 2021-07-25 1
"95" 2021-05-13 1
"96" 2021-04-25 1
"97" 2021-04-12 44
"98" 2021-06-23 8
"99" 2021-08-17 1
"100" 2021-08-02 1
"101" 2021-08-09 1
"102" 2021-07-30 1
"103" 2021-06-22 7
"104" 2021-07-06 1
"105" 2021-08-01 1
"106" 2021-08-03 2
"107" 2021-08-01 2
"108" 2021-08-03 1
"109" 2021-06-22 2
"110" 2021-07-28 2
"111" 2021-06-27 3
"112" 2021-05-14 31
"113" 2021-08-02 2
"114" 2021-06-28 1
"115" 2021-07-30 1
"116" 2021-08-05 2
"117" 2021-07-20 1
"118" 2021-06-17 9
"119" 2021-07-17 1
"120" 2021-07-18 1
"121" 2021-08-25 1
"122" 2021-08-05 2
"123" 2021-08-24 1
"124" 2021-07-18 1
"125" 2021-08-02 2
"126" 2021-06-04 1
"127" 2021-07-06 1
"128" 2021-08-02 2
"129" 2021-06-17 1
"130" 2021-07-15 3
"131" 2021-07-05 2
"132" 2021-07-30 1
"133" 2021-06-29 1
"134" 2021-07-21 8
"135" 2021-07-06 1
"136" 2021-08-02 1
"137" 2021-07-19 5
"138" 2021-07-11 2
"139" 2021-05-24 6
"140" 2021-08-09 1
"141" 2021-08-09 1
"142" 2021-07-18 3
"143" 2021-07-30 1
"144" 2021-08-02 1
"145" 2021-07-29 2
"146" 2021-07-25 1
"147" 2021-07-14 1
"148" 2021-07-14 2
"149" 2021-07-05 11
"150" 2021-08-26 1
"151" 2021-08-13 1
"152" 2021-07-04 13
"153" 2021-08-02 1
"154" 2021-07-05 1
"155" 2021-07-21 2
"156" 2021-07-10 1
"157" 2021-08-02 1
"158" 2021-07-14 3
"159" 2021-08-12 1
"160" 2021-08-02 1
"161" 2021-06-27 1
"162" 2021-08-10 1
"163" 2021-08-18 1
"164" 2021-07-14 1
"165" 2021-08-09 1
"166" 2021-07-21 1
"167" 2021-07-28 1
"168" 2021-07-27 5
"169" 2021-07-29 1
"170" 2021-07-30 2
"171" 2021-07-30 2
"172" 2021-07-04 9
"173" 2021-08-02 1
"174" 2021-08-21 1
"175" 2021-08-02 1
"176" 2021-08-12 1
"177" 2021-07-11 2
"178" 2021-07-05 13
"179" 2021-07-22 1
"180" 2021-08-09 1
"181" 2021-08-09 1
"182" 2021-07-29 1
"183" 2021-08-09 1
"184" 2021-07-27 4
"185" 2021-05-16 33
"186" 2021-07-22 1
"187" 2021-05-12 22
"188" 2021-06-17 1
"189" 2021-08-01 1
"190" 2021-07-29 1
"191" 2021-07-29 1
"192" 2021-05-28 2
"193" 2021-06-28 2
"194" 2021-08-03 1
"195" 2021-07-16 2
"196" 2021-06-29 1
"197" 2021-06-09 4
"198" 2021-07-24 1
"199" 2021-08-09 1
"200" 2021-07-15 4
"201" 2021-07-22 6
"202" 2021-08-05 1
"203" 2021-08-02 2
"204" 2021-08-01 3
"205" 2021-08-04 2
"206" 2021-07-11 7
"207" 2021-08-05 1
"208" 2021-07-24 4
"209" 2021-08-09 1
"210" 2021-08-09 1
"211" 2021-06-05 1
"212" 2021-07-18 2
"213" 2021-07-21 1
"214" 2021-08-02 1
"215" 2021-08-22 1
"216" 2021-08-17 1
"217" 2021-07-25 1
"218" 2021-08-01 1
"219" 2021-07-16 5
"220" 2021-07-11 1
"221" 2021-07-18 1
"222" 2021-06-16 2
"223" 2021-07-10 1
"224" 2021-08-09 1
"225" 2021-08-13 1
"226" 2021-06-24 1
"227" 2021-06-21 1
"228" 2021-05-17 1
"229" 2021-08-10 1
"230" 2021-06-27 2
"231" 2021-08-09 1
"232" 2021-07-28 1
"233" 2021-08-12 1
"234" 2021-06-12 4
"235" 2021-08-02 1
"236" 2021-06-22 6
"237" 2021-07-06 14
"238" 2021-04-23 1
"239" 2021-07-02 1
"240" 2021-08-26 1
"241" 2021-07-30 1
"242" 2021-08-08 1
"243" 2021-08-02 1
"244" 2021-06-18 1
"245" 2021-07-29 1
"246" 2021-08-09 1
"247" 2021-07-05 2
"248" 2021-08-09 1
"249" 2021-08-13 1
"250" 2021-07-31 3
"251" 2021-08-02 1
"252" 2021-08-05 1
"253" 2021-06-24 3
"254" 2021-06-28 1
"255" 2021-08-21 1
"256" 2021-07-06 1
"257" 2021-07-28 2
"258" 2021-06-28 1
"259" 2021-08-03 1
"260" 2021-06-17 2
"261" 2021-06-11 3
"262" 2021-06-08 1
"263" 2021-08-02 1
"264" 2021-08-04 2
"265" 2021-06-09 1
"266" 2021-07-25 1
"267" 2021-07-18 3
"268" 2021-08-01 3
"269" 2021-08-04 2
"270" 2021-07-25 1
"271" 2021-07-21 3
"272" 2021-07-05 1
"273" 2021-06-14 1
"274" 2021-06-14 2
"275" 2021-07-21 1
"276" 2021-07-25 1
"277" 2021-06-26 2
"278" 2021-07-24 1
"279" 2021-07-27 3
"280" 2021-07-21 1
"281" 2021-08-25 1
"282" 2021-08-21 1
"283" 2021-08-25 1
"284" 2021-08-04 2
"285" 2021-07-28 1
"286" 2021-07-07 5
"287" 2021-08-21 1
"288" 2021-06-04 6
"289" 2021-07-28 3
"290" 2021-06-28 1
"291" 2021-08-21 1
"292" 2021-08-02 1
"293" 2021-06-22 2
"294" 2021-08-03 1
"295" 2021-08-14 1
"296" 2021-08-16 1
"297" 2021-08-04 2
"298" 2021-07-27 2
"299" 2021-06-29 1
"300" 2021-08-06 1
"301" 2021-07-18 3
"302" 2021-08-08 1
"303" 2021-08-02 1
"304" 2021-08-04 2
"305" 2021-06-24 1
"306" 2021-08-08 1
"307" 2021-08-02 1
"308" 2021-08-25 1
"309" 2021-08-06 1
"310" 2021-08-02 1
"311" 2021-07-18 4
"312" 2021-08-01 1
"313" 2021-07-14 1
"314" 2021-08-12 1
"315" 2021-07-18 1
"316" 2021-07-18 5
"317" 2021-07-30 3
"318" 2021-07-27 2
"319" 2021-08-25 1
"320" 2021-08-08 1
"321" 2021-08-12 1
"322" 2021-08-01 2
"323" 2021-06-17 1
"324" 2021-06-13 1
"325" 2021-08-06 1
"326" 2021-08-03 2
"327" 2021-07-22 1
"328" 2021-08-03 2
"329" 2021-08-09 1
"330" 2021-08-02 1
"331" 2021-08-02 1
"332" 2021-08-09 1
"333" 2021-07-27 4
"334" 2021-07-28 4
"335" 2021-08-22 1
"336" 2021-07-29 1
"337" 2021-08-12 1
"338" 2021-08-02 1
"339" 2021-06-17 3
"340" 2021-05-27 1
"341" 2021-06-16 1
"342" 2021-07-18 1
"343" 2021-07-28 4
"344" 2021-08-08 1
"345" 2021-07-30 1
"346" 2021-08-13 1
"347" 2021-08-13 1
"348" 2021-08-13 1
"349" 2021-08-13 1
"350" 2021-08-13 1
"351" 2021-08-14 1
"352" 2021-08-17 1
"353" 2021-04-25 20
"354" 2021-05-09 4
"355" 2021-06-06 1
"356" 2021-06-23 2
"357" 2021-08-03 1
"358" 2021-07-22 1
"359" 2021-06-10 1
"360" 2021-05-16 4
"361" 2021-08-02 1
"362" 2021-05-05 1
"363" 2021-08-03 2
"364" 2021-05-06 1
"365" 2021-07-22 1
"366" 2021-08-25 1
"367" 2021-07-26 1
"368" 2021-08-06 1
"369" 2021-08-25 1
"370" 2021-08-02 1
"371" 2021-07-11 1
"372" 2021-06-13 1
"373" 2021-07-14 1
"374" 2021-08-02 1
"375" 2021-08-25 1
"376" 2021-08-04 2
"377" 2021-07-21 2
"378" 2021-08-08 1
"379" 2021-08-17 1
"380" 2021-07-21 1
"381" 2021-07-18 2
"382" 2021-07-18 9
"383" 2021-07-06 1
"384" 2021-08-05 1
"385" 2021-08-02 1
"386" 2021-06-29 7
"387" 2021-08-05 2
"388" 2021-08-04 2
"389" 2021-08-20 1
"390" 2021-08-03 2
"391" 2021-08-09 1
"392" 2021-08-03 3
"393" 2021-07-25 1
"394" 2021-07-25 1
"395" 2021-07-25 1
"396" 2021-07-15 2
"397" 2021-07-06 3
"398" 2021-06-23 2
"399" 2021-07-16 1
"400" 2021-07-25 1
"401" 2021-07-27 2
"402" 2021-08-02 2
"403" 2021-07-07 4
"404" 2021-06-28 1
"405" 2021-08-03 1
"406" 2021-08-01 3
"407" 2021-08-05 2
"408" 2021-08-03 2
"409" 2021-07-10 1
"410" 2021-08-05 1
"411" 2021-08-04 2
"412" 2021-07-18 1
"413" 2021-07-25 1
"414" 2021-07-06 1
"415" 2021-08-01 1
"416" 2021-07-24 6
"417" 2021-07-11 15
"418" 2021-07-07 1
"419" 2021-07-22 1
"420" 2021-07-05 2
"421" 2021-07-29 1
"422" 2021-07-21 3
"423" 2021-07-11 8
"424" 2021-07-11 10
"425" 2021-08-06 1
"426" 2021-07-23 7
"427" 2021-08-04 2
"428" 2021-07-20 6
