"mrcas" "Lin_sizes"
"245" 2021-05-10 1
"246" 2021-08-22 2
"247" 2021-09-18 1
"248" 2021-09-27 1
"249" 2021-10-09 1
"250" 2021-06-21 23
"251" 2021-03-30 20
"252" 2021-08-02 2
"253" 2021-08-12 2
"254" 2021-06-13 3
"255" 2021-06-01 2
"256" 2021-07-06 5
"257" 2021-10-18 1
"258" 2021-11-09 1
"259" 2021-09-20 1
"260" 2021-06-30 5
"261" 2021-04-26 4
"262" 2021-06-23 8
"263" 2021-08-21 3
"264" 2021-08-15 2
"265" 2021-08-02 1
"266" 2021-07-24 4
"267" 2021-11-02 1
"268" 2021-07-19 1
"269" 2021-06-06 1
"270" 2021-10-25 1
"271" 2021-06-14 1
"272" 2021-07-26 10
"273" 2021-10-12 4
"274" 2021-11-16 1
"275" 2021-08-06 7
"276" 2021-10-25 2
"277" 2021-10-07 1
"278" 2021-11-13 1
"279" 2021-08-16 136
"280" 2021-10-09 1
"281" 2021-11-02 3
"282" 2021-04-10 3
"283" 2021-10-15 1
"284" 2021-10-21 1
"285" 2021-10-28 3
"286" 2021-07-14 1
"287" 2021-08-20 1
"288" 2021-06-17 2
"289" 2021-08-31 6
"290" 2021-07-11 1
"291" 2021-08-07 1
"292" 2021-08-13 1
"293" 2021-10-21 2
"294" 2021-04-25 11
"295" 2021-10-14 1
"296" 2021-06-10 12
"297" 2021-04-19 24
"298" 2021-10-25 1
"299" 2021-03-31 2
"300" 2021-09-08 1
"301" 2021-06-25 1
"302" 2021-08-13 1
"303" 2021-12-03 1
"304" 2021-08-01 1
"305" 2021-09-05 1
"306" 2021-08-17 4
"307" 2021-08-12 1
"308" 2021-08-06 2
"309" 2021-05-25 14
"310" 2021-08-01 1
"311" 2021-04-24 1
"312" 2021-10-21 1
"313" 2021-08-22 1
"314" 2021-11-05 1
"315" 2021-09-10 1
"316" 2021-09-14 1
"317" 2021-08-28 1
"318" 2021-06-05 6
"319" 2021-06-29 1
"320" 2021-06-28 1
"321" 2021-07-01 1
"322" 2021-06-12 1
"323" 2021-10-29 1
"324" 2021-08-18 1
"325" 2021-08-29 1
"326" 2021-07-24 1
"327" 2021-11-08 2
"328" 2021-06-23 2
"329" 2021-07-26 1
"330" 2021-06-08 3
"331" 2021-07-28 1
"332" 2021-11-16 1
"333" 2021-11-06 1
"334" 2021-10-01 2
"335" 2021-09-20 9
"336" 2021-07-29 1
"337" 2021-06-28 1
"338" 2021-06-24 1
"339" 2021-08-02 1
"340" 2021-07-25 1
"341" 2021-06-01 39
"342" 2021-05-19 1
"343" 2021-06-16 2
"344" 2021-08-18 1
"345" 2021-07-20 1
"346" 2021-05-19 9
"347" 2021-09-08 1
"348" 2021-08-26 1
"349" 2021-06-30 48
"350" 2021-09-12 1
"351" 2021-07-01 2
"352" 2021-08-06 1
"353" 2021-06-03 30
"354" 2021-11-02 2
"355" 2021-06-18 1
"356" 2021-05-08 1
"357" 2021-06-28 1
"358" 2021-10-21 1
"359" 2021-05-25 2
"360" 2021-12-06 1
"361" 2021-05-19 28
